title,location,av_sal_yr,low_sal,high_sal
Data Science Specialist salaries,United States,"$90,000 ","$37,400 ","$165,000 "
Data Science Specialist salaries,Greater New York City Area,"$110,000 ","$32,300 ","$212,000 "
Data Science Specialist salaries,San Francisco Bay Area,"$115,000 ","$43,300 ","$175,000 "
Data Science Specialist salaries,"Houston, Texas Area","$79,600 ","$41,400 ","$153,000 "
Data Science Specialist salaries,Greater Philadelphia Area,"$83,200 ","$45,200 ","$153,000 "
Data Science Specialist salaries,Greater Denver Area,"$78,400 ","$43,300 ","$142,000 "
Data Science Specialist salaries,"Phoenix, Arizona Area","$71,500 ","$39,600 ","$129,000 "
Data Science Specialist salaries,Miami/Fort Lauderdale Area,"$73,800 ","$39,400 ","$138,000 "
Data Science Specialist salaries,"Orange County, California Area","$87,300 ","$46,900 ","$163,000 "
Data Science Specialist salaries,"Portland, Oregon Area","$83,000 ","$45,500 ","$151,000 "
Data Science Specialist salaries,Greater St. Louis Area,"$71,700 ","$38,400 ","$134,000 "
Data Science Specialist salaries,"Cleveland/Akron, Ohio Area","$74,500 ","$40,600 ","$137,000 "
Data Science Specialist salaries,"Raleigh-Durham, North Carolina Area","$72,900 ","$40,200 ","$132,000 "
Data Science Specialist salaries,"Baltimore, Maryland Area","$78,300 ","$42,200 ","$146,000 "
Data Science Specialist salaries,Greater Salt Lake City Area,"$71,400 ","$38,700 ","$132,000 "
Data Science Specialist salaries,"Kansas City, Missouri Area","$76,000 ","$42,300 ","$137,000 "
Data Science Specialist salaries,Greater Pittsburgh Area,"$74,800 ","$39,700 ","$141,000 "
Data Science Specialist salaries,"Indianapolis, Indiana Area","$73,700 ","$40,900 ","$133,000 "
Data Science Specialist salaries,"Columbus, Ohio Area","$75,600 ","$41,700 ","$137,000 "
Data Science Specialist salaries,"Orlando, Florida Area","$65,600 ","$35,500 ","$121,000 "
Data Science Specialist salaries,"Cincinnati Area, KY","$75,200 ","$41,000 ","$138,000 "
Data Science Specialist salaries,Greater Milwaukee Area,"$78,900 ","$44,400 ","$140,000 "
Data Science Specialist salaries,"Greater Nashville Area, TN","$70,900 ","$38,900 ","$129,000 "
Data Science Specialist salaries,"San Antonio, Texas Area","$71,000 ","$38,400 ","$131,000 "
Data Science Specialist salaries,"Sacramento, California Area","$83,800 ","$45,400 ","$155,000 "
Data Science Specialist salaries,"Greater Grand Rapids, Michigan Area","$71,100 ","$40,000 ","$126,000 "
Data Science Specialist salaries,"Las Vegas, Nevada Area","$75,800 ","$40,400 ","$142,000 "
Data Science Specialist salaries,"Hartford, Connecticut Area","$88,800 ","$47,700 ","$166,000 "
Data Science Specialist salaries,"Jacksonville, Florida Area","$69,000 ","$37,800 ","$126,000 "
Data Science Specialist salaries,"Louisville, Kentucky Area","$73,200 ","$40,500 ","$132,000 "
Data Science Specialist salaries,"Norfolk, Virginia Area","$66,200 ","$36,200 ","$121,000 "
Data Science Specialist salaries,"Richmond, Virginia Area","$75,600 ","$40,800 ","$140,000 "
Data Science Specialist salaries,"Oklahoma City, Oklahoma Area","$68,200 ","$35,900 ","$129,000 "
Data Science Specialist salaries,Greater Omaha Area,"$73,100 ","$41,400 ","$129,000 "
Data Science Specialist salaries,"Greenville, South Carolina Area","$66,400 ","$35,000 ","$126,000 "
Data Science Specialist salaries,"Greensboro/Winston-Salem, North Carolina Area","$66,900 ","$36,300 ","$123,000 "
Data Science Specialist salaries,"Madison, Wisconsin Area","$79,500 ","$44,900 ","$141,000 "
Data Science Specialist salaries,Greater Memphis Area,"$71,900 ","$38,600 ","$134,000 "
Data Science Specialist salaries,"Rochester, New York Area","$74,100 ","$41,800 ","$131,000 "
Data Science Specialist salaries,"West Palm Beach, Florida Area","$73,300 ","$39,200 ","$137,000 "
Data Science Specialist salaries,"Des Moines, Iowa Area","$75,700 ","$42,500 ","$135,000 "
Data Science Specialist salaries,"Providence, Rhode Island Area","$84,000 ","$45,900 ","$154,000 "
Data Science Specialist salaries,"Tulsa, Oklahoma Area","$68,500 ","$35,900 ","$131,000 "
Data Science Specialist salaries,"Buffalo/Niagara, New York Area","$77,300 ","$43,000 ","$139,000 "
Data Science Specialist salaries,Greater New Orleans Area,"$69,300 ","$36,800 ","$130,000 "
Data Science Specialist salaries,"Birmingham, Alabama Area","$69,500 ","$37,500 ","$129,000 "
Data Science Specialist salaries,"Dayton, Ohio Area","$68,900 ","$37,800 ","$126,000 "
Data Science Specialist salaries,"Albany, New York Area","$78,700 ","$42,600 ","$145,000 "
Data Science Specialist salaries,"Wichita, Kansas Area","$68,200 ","$37,000 ","$126,000 "
Data Science Specialist salaries,"Knoxville, Tennessee Area","$61,800 ","$32,100 ","$119,000 "
Data Science Specialist salaries,"Charleston, South Carolina Area","$65,000 ","$35,500 ","$119,000 "
Data Science Specialist salaries,"Provo, Utah Area","$68,400 ","$36,300 ","$129,000 "
Data Science Specialist salaries,"Boise, Idaho Area","$68,100 ","$36,300 ","$128,000 "
Data Science Specialist salaries,Hawaiian Islands,"$87,200 ","$44,000 ","$173,000 "
Data Science Specialist salaries,"Tucson, Arizona Area","$67,300 ","$36,900 ","$123,000 "
Data Science Specialist salaries,"Harrisburg, Pennsylvania Area","$77,900 ","$43,100 ","$141,000 "
Data Science Specialist salaries,"Baton Rouge, Louisiana Area","$72,800 ","$37,300 ","$142,000 "
Data Science Specialist salaries,"Albuquerque, New Mexico Area","$68,600 ","$37,000 ","$127,000 "
Data Science Specialist salaries,"Toledo, Ohio Area","$72,900 ","$39,300 ","$135,000 "
Data Science Specialist salaries,"Little Rock, Arkansas Area","$64,800 ","$34,400 ","$122,000 "
Data Science Specialist salaries,"Colorado Springs, Colorado Area","$67,300 ","$36,000 ","$126,000 "
Data Science Specialist salaries,"Lexington, Kentucky Area","$67,400 ","$35,600 ","$128,000 "
Data Science Specialist salaries,"Syracuse, New York Area","$75,400 ","$41,700 ","$136,000 "
Data Science Specialist salaries,"Allentown, Pennsylvania Area","$78,100 ","$41,600 ","$147,000 "
Data Science Specialist salaries,"Columbia, South Carolina Area","$68,100 ","$36,500 ","$127,000 "
Data Science Specialist salaries,"Oshkosh, Wisconsin Area","$74,100 ","$42,600 ","$129,000 "
