title,location,av_sal_yr,low_sal,high_sal
Data Science Specialist salaries,United States,"$90,000 ","$37,400 ","$165,000 "
Data Science Specialist salaries,New York City,"$110,000 ","$32,300 ","$212,000 "
Data Science Specialist salaries,San Francisco Bay,"$115,000 ","$43,300 ","$175,000 "
Data Science Specialist salaries,"Houston, Texas","$79,600 ","$41,400 ","$153,000 "
Data Science Specialist salaries,Philadelphia,"$83,200 ","$45,200 ","$153,000 "
Data Science Specialist salaries,Denver,"$78,400 ","$43,300 ","$142,000 "
Data Science Specialist salaries,"Phoenix, Arizona","$71,500 ","$39,600 ","$129,000 "
Data Science Specialist salaries,Miami/Fort Lauderdale,"$73,800 ","$39,400 ","$138,000 "
Data Science Specialist salaries,"Orange County, California","$87,300 ","$46,900 ","$163,000 "
Data Science Specialist salaries,"Portland, Oregon","$83,000 ","$45,500 ","$151,000 "
Data Science Specialist salaries,St. Louis,"$71,700 ","$38,400 ","$134,000 "
Data Science Specialist salaries,"Cleveland/Akron, Ohio","$74,500 ","$40,600 ","$137,000 "
Data Science Specialist salaries,"Raleigh-Durham, North Carolina","$72,900 ","$40,200 ","$132,000 "
Data Science Specialist salaries,"Baltimore, Maryland","$78,300 ","$42,200 ","$146,000 "
Data Science Specialist salaries,Salt Lake City,"$71,400 ","$38,700 ","$132,000 "
Data Science Specialist salaries,"Kansas City, Missouri","$76,000 ","$42,300 ","$137,000 "
Data Science Specialist salaries,Pittsburgh,"$74,800 ","$39,700 ","$141,000 "
Data Science Specialist salaries,"Indianapolis, Indiana","$73,700 ","$40,900 ","$133,000 "
Data Science Specialist salaries,"Columbus, Ohio","$75,600 ","$41,700 ","$137,000 "
Data Science Specialist salaries,"Orlando, Florida","$65,600 ","$35,500 ","$121,000 "
Data Science Specialist salaries,"Cincinnati, KY","$75,200 ","$41,000 ","$138,000 "
Data Science Specialist salaries,Milwaukee,"$78,900 ","$44,400 ","$140,000 "
Data Science Specialist salaries,"Nashville, TN","$70,900 ","$38,900 ","$129,000 "
Data Science Specialist salaries,"San Antonio, Texas","$71,000 ","$38,400 ","$131,000 "
Data Science Specialist salaries,"Sacramento, California","$83,800 ","$45,400 ","$155,000 "
Data Science Specialist salaries,"Grand Rapids, Michigan","$71,100 ","$40,000 ","$126,000 "
Data Science Specialist salaries,"Las Vegas, Nevada","$75,800 ","$40,400 ","$142,000 "
Data Science Specialist salaries,"Hartford, Connecticut","$88,800 ","$47,700 ","$166,000 "
Data Science Specialist salaries,"Jacksonville, Florida","$69,000 ","$37,800 ","$126,000 "
Data Science Specialist salaries,"Louisville, Kentucky","$73,200 ","$40,500 ","$132,000 "
Data Science Specialist salaries,"Norfolk, Virginia","$66,200 ","$36,200 ","$121,000 "
Data Science Specialist salaries,"Richmond, Virginia","$75,600 ","$40,800 ","$140,000 "
Data Science Specialist salaries,"Oklahoma City, Oklahoma","$68,200 ","$35,900 ","$129,000 "
Data Science Specialist salaries,Omaha,"$73,100 ","$41,400 ","$129,000 "
Data Science Specialist salaries,"Greenville, South Carolina","$66,400 ","$35,000 ","$126,000 "
Data Science Specialist salaries,"Greensboro/Winston-Salem, North Carolina","$66,900 ","$36,300 ","$123,000 "
Data Science Specialist salaries,"Madison, Wisconsin","$79,500 ","$44,900 ","$141,000 "
Data Science Specialist salaries,Memphis,"$71,900 ","$38,600 ","$134,000 "
Data Science Specialist salaries,"Rochester, New York","$74,100 ","$41,800 ","$131,000 "
Data Science Specialist salaries,"West Palm Beach, Florida","$73,300 ","$39,200 ","$137,000 "
Data Science Specialist salaries,"Des Moines, Iowa","$75,700 ","$42,500 ","$135,000 "
Data Science Specialist salaries,"Providence, Rhode Island","$84,000 ","$45,900 ","$154,000 "
Data Science Specialist salaries,"Tulsa, Oklahoma","$68,500 ","$35,900 ","$131,000 "
Data Science Specialist salaries,"Buffalo/Niagara, New York","$77,300 ","$43,000 ","$139,000 "
Data Science Specialist salaries,New Orleans,"$69,300 ","$36,800 ","$130,000 "
Data Science Specialist salaries,"Birmingham, Alabama","$69,500 ","$37,500 ","$129,000 "
Data Science Specialist salaries,"Dayton, Ohio","$68,900 ","$37,800 ","$126,000 "
Data Science Specialist salaries,"Albany, New York","$78,700 ","$42,600 ","$145,000 "
Data Science Specialist salaries,"Wichita, Kansas","$68,200 ","$37,000 ","$126,000 "
Data Science Specialist salaries,"Knoxville, Tennessee","$61,800 ","$32,100 ","$119,000 "
Data Science Specialist salaries,"Charleston, South Carolina","$65,000 ","$35,500 ","$119,000 "
Data Science Specialist salaries,"Provo, Utah","$68,400 ","$36,300 ","$129,000 "
Data Science Specialist salaries,"Boise, Idaho","$68,100 ","$36,300 ","$128,000 "
Data Science Specialist salaries,Hawaiian Islands,"$87,200 ","$44,000 ","$173,000 "
Data Science Specialist salaries,"Tucson, Arizona","$67,300 ","$36,900 ","$123,000 "
Data Science Specialist salaries,"Harrisburg, Pennsylvania","$77,900 ","$43,100 ","$141,000 "
Data Science Specialist salaries,"Baton Rouge, Louisiana","$72,800 ","$37,300 ","$142,000 "
Data Science Specialist salaries,"Albuquerque, New Mexico","$68,600 ","$37,000 ","$127,000 "
Data Science Specialist salaries,"Toledo, Ohio","$72,900 ","$39,300 ","$135,000 "
Data Science Specialist salaries,"Little Rock, Arkansas","$64,800 ","$34,400 ","$122,000 "
Data Science Specialist salaries,"Colorado Springs, Colorado","$67,300 ","$36,000 ","$126,000 "
