,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,11,"Agriculture, Forestry, Fishing and Hunting",00-0000,Industry Total,total,424020,1.1,100,100,14.89,30960,0.7,10.13,10.57,11.77,16.12,23.35,21070,21980,24480,33530,48570,,
1,11,"Agriculture, Forestry, Fishing and Hunting",11-0000,Management Occupations,major,7860,4.9,1.85,16,47.29,98350,2.4,18.29,27.11,39.63,59.04,81.02,38050,56400,82430,122810,168520,,
2,11,"Agriculture, Forestry, Fishing and Hunting",11-1000,Top Executives,minor,3840,4.7,0.91,~,49.44,102830,3.7,18.01,26.57,39.72,59.6,96.66,37460,55270,82620,123980,201040,,
3,11,"Agriculture, Forestry, Fishing and Hunting",11-1010,Chief Executives,broad,170,13.5,0.04,~,95.56,198770,6.5,41.69,53.6,87.17,#,#,86720,111480,181320,#,#,,
4,11,"Agriculture, Forestry, Fishing and Hunting",11-1011,Chief Executives,detailed,170,13.5,0.04,~,95.56,198770,6.5,41.69,53.6,87.17,#,#,86720,111480,181320,#,#,,
5,11,"Agriculture, Forestry, Fishing and Hunting",11-1020,General and Operations Managers,broad,3670,4.9,0.87,~,47.24,98260,4,17.65,26.07,38.58,57.02,87.4,36700,54230,80250,118600,181790,,
6,11,"Agriculture, Forestry, Fishing and Hunting",11-1021,General and Operations Managers,detailed,3670,4.9,0.87,11,47.24,98260,4,17.65,26.07,38.58,57.02,87.4,36700,54230,80250,118600,181790,,
7,11,"Agriculture, Forestry, Fishing and Hunting",11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,380,19.9,0.09,~,58.95,122610,4.2,31.88,41.21,57.08,72.5,87.04,66310,85720,118730,150790,181040,,
8,11,"Agriculture, Forestry, Fishing and Hunting",11-2020,Marketing and Sales Managers,broad,370,20.4,0.09,~,58.73,122160,4.3,31.79,41.14,56.84,72.34,86.68,66120,85570,118220,150460,180290,,
9,11,"Agriculture, Forestry, Fishing and Hunting",11-2021,Marketing Managers,detailed,**,**,**,~,66.75,138840,4.2,44.42,59.52,68.06,74.82,79.68,92400,123800,141560,155630,165740,,
10,11,"Agriculture, Forestry, Fishing and Hunting",11-2022,Sales Managers,detailed,270,17.9,0.06,1,55.86,116190,5.2,30.24,37.23,51.3,68.65,88.73,62900,77440,106700,142800,184560,,
11,11,"Agriculture, Forestry, Fishing and Hunting",11-3000,Operations Specialties Managers,minor,980,8.1,0.23,~,50.51,105060,3.9,25.59,33.04,44.85,60.38,80.84,53220,68710,93280,125600,168150,,
12,11,"Agriculture, Forestry, Fishing and Hunting",11-3010,Administrative Services Managers,broad,80,14.2,0.02,~,46.73,97200,4.5,27.64,35.26,44.66,56.66,67.97,57490,73350,92890,117850,141370,,
13,11,"Agriculture, Forestry, Fishing and Hunting",11-3011,Administrative Services Managers,detailed,80,14.2,0.02,~,46.73,97200,4.5,27.64,35.26,44.66,56.66,67.97,57490,73350,92890,117850,141370,,
14,11,"Agriculture, Forestry, Fishing and Hunting",11-3020,Computer and Information Systems Managers,broad,60,21.3,0.01,~,70.18,145980,4.9,43.98,50.48,64.21,87.36,97.71,91480,105000,133550,181710,203230,,
15,11,"Agriculture, Forestry, Fishing and Hunting",11-3021,Computer and Information Systems Managers,detailed,60,21.3,0.01,~,70.18,145980,4.9,43.98,50.48,64.21,87.36,97.71,91480,105000,133550,181710,203230,,
16,11,"Agriculture, Forestry, Fishing and Hunting",11-3030,Financial Managers,broad,250,11.3,0.06,~,63.55,132170,7,33.72,42.12,55.26,72.01,#,70140,87620,114940,149780,#,,
17,11,"Agriculture, Forestry, Fishing and Hunting",11-3031,Financial Managers,detailed,250,11.3,0.06,1,63.55,132170,7,33.72,42.12,55.26,72.01,#,70140,87620,114940,149780,#,,
18,11,"Agriculture, Forestry, Fishing and Hunting",11-3050,Industrial Production Managers,broad,360,11.8,0.09,~,45.23,94070,4.1,25.33,31.26,39.53,53.9,73.9,52700,65030,82230,112100,153710,,
19,11,"Agriculture, Forestry, Fishing and Hunting",11-3051,Industrial Production Managers,detailed,360,11.8,0.09,1,45.23,94070,4.1,25.33,31.26,39.53,53.9,73.9,52700,65030,82230,112100,153710,,
20,11,"Agriculture, Forestry, Fishing and Hunting",11-3070,"Transportation, Storage, and Distribution Managers",broad,180,22.9,0.04,~,36.94,76830,7.6,17.47,25.84,33.72,46.98,60.48,36330,53740,70140,97720,125790,,
21,11,"Agriculture, Forestry, Fishing and Hunting",11-3071,"Transportation, Storage, and Distribution Managers",detailed,180,22.9,0.04,~,36.94,76830,7.6,17.47,25.84,33.72,46.98,60.48,36330,53740,70140,97720,125790,,
22,11,"Agriculture, Forestry, Fishing and Hunting",11-3120,Human Resources Managers,broad,30,18.1,0.01,~,52.2,108570,9.8,24.93,32.44,50.36,61.2,75.77,51850,67480,104750,127300,157610,,
23,11,"Agriculture, Forestry, Fishing and Hunting",11-3121,Human Resources Managers,detailed,30,18.1,0.01,~,52.2,108570,9.8,24.93,32.44,50.36,61.2,75.77,51850,67480,104750,127300,157610,,
24,11,"Agriculture, Forestry, Fishing and Hunting",11-9000,Other Management Occupations,minor,2650,9.4,0.63,~,41.29,85890,3.3,16.48,24.4,35.93,54.28,72.27,34290,50740,74730,112900,150320,,
25,11,"Agriculture, Forestry, Fishing and Hunting",11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,2240,10.8,0.53,~,40.68,84610,3.6,16.7,24,35.38,53.36,70.87,34730,49930,73580,110980,147400,,
26,11,"Agriculture, Forestry, Fishing and Hunting",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,2240,10.8,0.53,5,40.68,84610,3.6,16.7,24,35.38,53.36,70.87,34730,49930,73580,110980,147400,,
27,11,"Agriculture, Forestry, Fishing and Hunting",11-9120,Natural Sciences Managers,broad,60,27.2,0.01,~,46.2,96100,5.3,28.77,36.79,46.43,55.29,62.87,59840,76530,96570,115010,130770,,
28,11,"Agriculture, Forestry, Fishing and Hunting",11-9121,Natural Sciences Managers,detailed,60,27.2,0.01,~,46.2,96100,5.3,28.77,36.79,46.43,55.29,62.87,59840,76530,96570,115010,130770,,
29,11,"Agriculture, Forestry, Fishing and Hunting",11-9140,"Property, Real Estate, and Community Association Managers",broad,80,43.2,0.02,~,*,*,*,*,*,*,*,*,*,*,*,*,*,,
30,11,"Agriculture, Forestry, Fishing and Hunting",11-9141,"Property, Real Estate, and Community Association Managers",detailed,80,43.2,0.02,~,*,*,*,*,*,*,*,*,*,*,*,*,*,,
31,11,"Agriculture, Forestry, Fishing and Hunting",11-9190,Miscellaneous Managers,broad,260,15.8,0.06,~,49.3,102530,4.8,24.33,31.43,43.71,64.51,78.82,50610,65380,90920,134170,163940,,
32,11,"Agriculture, Forestry, Fishing and Hunting",11-9199,"Managers, All Other",detailed,260,15.8,0.06,~,49.3,102530,4.8,24.33,31.43,43.71,64.51,78.82,50610,65380,90920,134170,163940,,
33,11,"Agriculture, Forestry, Fishing and Hunting",13-0000,Business and Financial Operations Occupations,major,2540,11.1,0.6,4,28.39,59040,3.5,11.14,17.61,26.37,35.69,47.72,23160,36640,54850,74240,99250,,
34,11,"Agriculture, Forestry, Fishing and Hunting",13-1000,Business Operations Specialists,minor,2030,13.4,0.48,~,27.06,56290,4.3,10.19,16.21,24.24,34.21,46.63,21200,33720,50420,71170,96980,,
35,11,"Agriculture, Forestry, Fishing and Hunting",13-1020,Buyers and Purchasing Agents,detailed,350,19.5,0.08,1,27,56160,3.7,15.28,19.03,24.18,30.55,41.02,31780,39590,50300,63540,85320,,
36,11,"Agriculture, Forestry, Fishing and Hunting",13-1020,Buyers and Purchasing Agents,broad,350,19.5,0.08,1,27,56160,3.7,15.28,19.03,24.18,30.55,41.02,31780,39590,50300,63540,85320,,
37,11,"Agriculture, Forestry, Fishing and Hunting",13-1070,Human Resources Workers,broad,850,28.4,0.2,~,24.52,51010,9.7,9.05,10.9,18.49,31.81,45.85,18820,22670,38450,66170,95370,,
38,11,"Agriculture, Forestry, Fishing and Hunting",13-1071,Human Resources Specialists,detailed,130,9.4,0.03,~,30.23,62890,2.7,19.25,23.86,29.14,36.27,43.76,40040,49630,60610,75440,91010,,
39,11,"Agriculture, Forestry, Fishing and Hunting",13-1074,Farm Labor Contractors,detailed,720,33.5,0.17,1,23.49,48860,12.4,8.93,10,16.88,30.66,46.25,18580,20800,35100,63760,96200,,
40,11,"Agriculture, Forestry, Fishing and Hunting",13-1080,Logisticians,broad,60,12.7,0.01,~,28.89,60090,3.5,19.23,22.43,26.84,31,41.96,39990,46640,55830,64470,87280,,
41,11,"Agriculture, Forestry, Fishing and Hunting",13-1081,Logisticians,detailed,60,12.7,0.01,~,28.89,60090,3.5,19.23,22.43,26.84,31,41.96,39990,46640,55830,64470,87280,,
42,11,"Agriculture, Forestry, Fishing and Hunting",13-1110,Management Analysts,broad,40,35.7,0.01,~,42.93,89300,20.1,20.29,24.75,34.57,65.44,74.01,42200,51470,71900,136120,153940,,
43,11,"Agriculture, Forestry, Fishing and Hunting",13-1111,Management Analysts,detailed,40,35.7,0.01,~,42.93,89300,20.1,20.29,24.75,34.57,65.44,74.01,42200,51470,71900,136120,153940,,
44,11,"Agriculture, Forestry, Fishing and Hunting",13-1120,"Meeting, Convention, and Event Planners",broad,90,31.6,0.02,~,22.83,47480,4.4,15.77,17.96,21.08,24.28,34.74,32810,37370,43850,50510,72270,,
45,11,"Agriculture, Forestry, Fishing and Hunting",13-1121,"Meeting, Convention, and Event Planners",detailed,90,31.6,0.02,~,22.83,47480,4.4,15.77,17.96,21.08,24.28,34.74,32810,37370,43850,50510,72270,,
46,11,"Agriculture, Forestry, Fishing and Hunting",13-1150,Training and Development Specialists,broad,50,15.6,0.01,~,26.39,54890,5,13.21,17.95,26.89,33.09,38.38,27480,37330,55920,68830,79840,,
47,11,"Agriculture, Forestry, Fishing and Hunting",13-1151,Training and Development Specialists,detailed,50,15.6,0.01,~,26.39,54890,5,13.21,17.95,26.89,33.09,38.38,27480,37330,55920,68830,79840,,
48,11,"Agriculture, Forestry, Fishing and Hunting",13-1160,Market Research Analysts and Marketing Specialists,broad,140,14.2,0.03,~,30.54,63510,5.7,17.45,21.56,27.78,36.33,46.04,36290,44850,57780,75580,95770,,
49,11,"Agriculture, Forestry, Fishing and Hunting",13-1161,Market Research Analysts and Marketing Specialists,detailed,140,14.2,0.03,~,30.54,63510,5.7,17.45,21.56,27.78,36.33,46.04,36290,44850,57780,75580,95770,,
50,11,"Agriculture, Forestry, Fishing and Hunting",13-1190,Miscellaneous Business Operations Specialists,broad,400,18.4,0.09,~,29.71,61800,5.1,12.69,18.64,28.22,39.23,48.83,26400,38770,58690,81590,101560,,
51,11,"Agriculture, Forestry, Fishing and Hunting",13-1199,"Business Operations Specialists, All Other",detailed,400,18.4,0.09,1,29.71,61800,5.1,12.69,18.64,28.22,39.23,48.83,26400,38770,58690,81590,101560,,
52,11,"Agriculture, Forestry, Fishing and Hunting",13-2000,Financial Specialists,minor,520,10.4,0.12,~,33.57,69820,2.7,20.24,26.04,30.84,39.98,50.96,42100,54170,64140,83170,106010,,
53,11,"Agriculture, Forestry, Fishing and Hunting",13-2010,Accountants and Auditors,broad,470,10.8,0.11,~,33.41,69500,2.9,20.06,25.98,30.61,39.29,51.53,41730,54040,63660,81730,107170,,
54,11,"Agriculture, Forestry, Fishing and Hunting",13-2011,Accountants and Auditors,detailed,470,10.8,0.11,1,33.41,69500,2.9,20.06,25.98,30.61,39.29,51.53,41730,54040,63660,81730,107170,,
55,11,"Agriculture, Forestry, Fishing and Hunting",15-0000,Computer and Mathematical Occupations,major,290,12.2,0.07,1,36.68,76290,4.4,18.05,25.96,34.04,46.19,57.02,37530,53990,70810,96070,118600,,
56,11,"Agriculture, Forestry, Fishing and Hunting",15-1100,Computer Occupations,minor,290,12.2,0.07,~,36.66,76250,4.4,18.04,25.94,33.98,46.16,57.05,37510,53950,70670,96020,118660,,
57,11,"Agriculture, Forestry, Fishing and Hunting",15-1130,Software Developers and Programmers,broad,60,16.2,0.01,~,40.91,85090,5.4,26.18,30.45,39.5,48.11,60.08,54450,63340,82160,100080,124960,,
58,11,"Agriculture, Forestry, Fishing and Hunting",15-1140,Database and Systems Administrators and Network Architects,broad,90,13.4,0.02,~,41.5,86330,6.3,21.19,28.44,38.81,50.69,60.94,44080,59150,80720,105420,126760,,
59,11,"Agriculture, Forestry, Fishing and Hunting",15-1141,Database Administrators,detailed,50,16.3,0.01,~,43.13,89700,10.5,14.75,28.47,39.23,51.07,63.1,30690,59220,81590,106220,131250,,
60,11,"Agriculture, Forestry, Fishing and Hunting",15-1142,Network and Computer Systems Administrators,detailed,40,18.9,0.01,~,37.57,78140,4.6,22.28,27.75,36.43,48.6,56.59,46350,57730,75770,101080,117710,,
61,11,"Agriculture, Forestry, Fishing and Hunting",15-1150,Computer Support Specialists,broad,90,26.3,0.02,~,27.31,56800,8.3,16.4,19.34,26.45,31.67,43.44,34110,40230,55010,65870,90350,,
62,11,"Agriculture, Forestry, Fishing and Hunting",15-1151,Computer User Support Specialists,detailed,70,30.6,0.02,~,27.15,56460,10.1,16.25,19.16,25.92,31.32,44.62,33800,39860,53910,65130,92820,,
63,11,"Agriculture, Forestry, Fishing and Hunting",17-0000,Architecture and Engineering Occupations,major,110,31.1,0.03,~,33.66,70020,4.5,18.86,26.85,33.72,39.2,47.69,39230,55850,70130,81540,99200,,
64,11,"Agriculture, Forestry, Fishing and Hunting",17-2000,Engineers,minor,80,34.9,0.02,~,36.61,76140,4,26.43,31.04,35.43,39.66,49.34,54980,64550,73700,82500,102640,,
65,11,"Agriculture, Forestry, Fishing and Hunting",17-2020,Agricultural Engineers,broad,**,**,**,~,34.1,70940,6.5,25.57,28.45,34.17,38.46,44.67,53180,59180,71080,80000,92920,,
66,11,"Agriculture, Forestry, Fishing and Hunting",17-2021,Agricultural Engineers,detailed,**,**,**,~,34.1,70940,6.5,25.57,28.45,34.17,38.46,44.67,53180,59180,71080,80000,92920,,
67,11,"Agriculture, Forestry, Fishing and Hunting",17-2110,"Industrial Engineers, Including Health and Safety",broad,40,35.8,0.01,~,39.28,81700,5.3,29.59,32.78,36.67,43.63,54.12,61540,68190,76280,90750,112570,,
