,city,openings,lat,long
0,"New York, NY",169,40.7127753,-74.0059728
1,"Boston, MA",158,42.3600825,-71.0588801
2,"Charlotte, NC",106,35.2270869,-80.8431267
3,"Philadelphia, PA",102,39.9525839,-75.1652215
4,"Irving, TX",101,32.8140177,-96.9488945
5,"Yakima, WA",99,46.6020711,-120.5058987
6,"San Francisco, CA",60,37.7749295,-122.4194155
7,"Arlington, VA",48,38.8816208,-77.09098089999999
8,"Chicago, IL",31,41.8781136,-87.6297982
9,"Conshohocken, PA",23,40.0792766,-75.3015714
10,"Austin, TX",20,30.267153,-97.7430608
11,"Washington, DC",19,38.9071923,-77.0368707
12,"Palo Alto, CA",17,37.4418834,-122.1430195
13,"Seattle, WA",17,47.6062095,-122.3320708
14,"Bellevue, WA",16,47.6101497,-122.2015159
15,"Sunnyvale, CA",13,37.36883,-122.0363496
16,"Los Angeles, CA",12,34.0522342,-118.2436849
17,"Houston, TX",12,29.7604267,-95.3698028
18,"San Jose, CA",11,37.3382082,-121.8863286
19,"Atlanta, GA",11,33.7489954,-84.3879824
20,"Phoenix, AZ",11,33.4483771,-112.0740373
21,"Santa Clara Valley, CA",10,37.2488478,-121.8399593
22,"Santa Clara, CA",9,37.3541079,-121.9552356
23,"Cambridge, MA",8,42.3736158,-71.10973349999999
24,"Salt Lake City, UT",7,40.7607793,-111.8910474
25,"Portland, OR",7,45.5122308,-122.6587185
26,"Mountain View, CA",7,37.3860517,-122.0838511
27,"Irvine, CA",7,33.6845673,-117.8265049
28,"Plano, TX",6,33.0198431,-96.6988856
29,"Redmond, WA",6,47.6739881,-122.121512
30,"Raleigh, NC",6,35.7795897,-78.6381787
31,"San Diego, CA",6,32.715738,-117.1610838
32,"Dallas, TX",6,32.7766642,-96.79698789999999
33,"Milpitas, CA",6,37.4323341,-121.8995741
34,"Denver, CO",6,39.7392358,-104.990251
35,"Pittsburgh, PA",5,40.44062479999999,-79.9958864
36,"Richmond, VA",5,37.5407246,-77.4360481
37,"Bedford, MA",5,42.4906231,-71.2760089
38,"San Mateo, CA",5,37.5629917,-122.3255254
39,"Menlo Park, CA",5,37.4529598,-122.1817252
40,"Princeton, NJ",4,40.3572976,-74.6672226
41,"San Bruno, CA",4,37.6304904,-122.4110835
42,"Reston, VA",4,38.9586307,-77.35700279999999
43,"Thousand Oaks, CA",4,34.1705609,-118.8375937
44,"Tysons, VA",4,38.9187222,-77.2310925
45,"Carlsbad, CA",4,33.1580933,-117.3505939
46,"Rockville, MD",4,39.0839973,-77.1527578
47,"Oklahoma City, OK",4,35.4675602,-97.5164276
48,"Windsor Locks, CT",4,41.9242917,-72.6454469
49,"Livermore, CA",4,37.6818745,-121.7680088
50,"Redwood City, CA",4,37.48521520000001,-122.2363548
