,city,openings,lat,long,g_metro,state_1
0,"New York, NY",169,40.7127753,-74.0059728,United States,NY
1,"Boston, MA",158,42.3600825,-71.0588801,Massachusetts,MA
2,"Charlotte, NC",106,35.2270869,-80.8431267,Mecklenburg County,NC
3,"Philadelphia, PA",102,39.9525839,-75.1652215,Pennsylvania,PA
4,"Irving, TX",101,32.8140177,-96.9488945,Texas,TX
5,"Yakima, WA",99,46.6020711,-120.5058987,Washington,WA
6,"San Francisco, CA",60,37.7749295,-122.4194155,California,CA
7,"Arlington, VA",48,38.8816208,-77.09098089999999,Virginia,VA
8,"Chicago, IL",31,41.8781136,-87.6297982,Illinois,IL
9,"Conshohocken, PA",23,40.0792766,-75.3015714,Pennsylvania,PA
10,"Austin, TX",20,30.267153,-97.7430608,Texas,TX
11,"Washington, DC",19,38.9071923,-77.0368707,District of Columbia,DC
12,"Seattle, WA",17,47.6062095,-122.3320708,Washington,WA
13,"Palo Alto, CA",17,37.4418834,-122.1430195,California,CA
14,"Bellevue, WA",16,47.6101497,-122.2015159,Washington,WA
15,"Sunnyvale, CA",13,37.36883,-122.0363496,California,CA
16,"Houston, TX",12,29.7604267,-95.3698028,Texas,TX
17,"Los Angeles, CA",12,34.0522342,-118.2436849,California,CA
18,"Phoenix, AZ",11,33.4483771,-112.0740373,Arizona,AZ
19,"San Jose, CA",11,37.3382082,-121.8863286,California,CA
20,"Atlanta, GA",11,33.7489954,-84.3879824,Georgia,GA
21,"Santa Clara Valley, CA",10,37.2488478,-121.8399593,San Jose,CA
22,"Santa Clara, CA",9,37.3541079,-121.9552356,California,CA
23,"Cambridge, MA",8,42.3736158,-71.10973349999999,Massachusetts,MA
24,"Mountain View, CA",7,37.3860517,-122.0838511,California,CA
25,"Portland, OR",7,45.5122308,-122.6587185,Oregon,OR
26,"Salt Lake City, UT",7,40.7607793,-111.8910474,Utah,UT
27,"Irvine, CA",7,33.6845673,-117.8265049,California,CA
28,"Redmond, WA",6,47.6739881,-122.121512,Washington,WA
29,"Raleigh, NC",6,35.7795897,-78.6381787,North Carolina,NC
30,"Plano, TX",6,33.0198431,-96.6988856,Texas,TX
31,"San Diego, CA",6,32.715738,-117.1610838,California,CA
32,"Milpitas, CA",6,37.4323341,-121.8995741,California,CA
33,"Denver, CO",6,39.7392358,-104.990251,Colorado,CO
34,"Dallas, TX",6,32.7766642,-96.79698789999999,Texas,TX
35,"Menlo Park, CA",5,37.4529598,-122.1817252,California,CA
36,"Richmond, VA",5,37.5407246,-77.4360481,United States,VA
37,"San Mateo, CA",5,37.5629917,-122.3255254,California,CA
38,"Pittsburgh, PA",5,40.44062479999999,-79.9958864,Pennsylvania,PA
39,"Bedford, MA",5,42.4906231,-71.2760089,Massachusetts,MA
40,"Tysons, VA",4,38.9187222,-77.2310925,Fairfax County,VA
41,"McLean, VA",4,38.9338676,-77.1772604,Fairfax County,VA
42,"Santa Barbara, CA",4,34.4208305,-119.6981901,California,CA
43,"San Bruno, CA",4,37.6304904,-122.4110835,California,CA
44,"Reston, VA",4,38.9586307,-77.35700279999999,Fairfax County,VA
45,"Redwood City, CA",4,37.48521520000001,-122.2363548,California,CA
46,"Windsor Locks, CT",4,41.9242917,-72.6454469,Connecticut,CT
47,"Carlsbad, CA",4,33.1580933,-117.3505939,California,CA
48,"Livermore, CA",4,37.6818745,-121.7680088,California,CA
49,"Princeton, NJ",4,40.3572976,-74.6672226,New Jersey,NJ
50,"Rockville, MD",4,39.0839973,-77.1527578,Montgomery County,MD
51,"Thousand Oaks, CA",4,34.1705609,-118.8375937,California,CA
52,"Oklahoma City, OK",4,35.4675602,-97.5164276,Oklahoma,OK
53,"Wilmington, DE",3,39.744655,-75.5483909,Delaware,DE
54,"St. Louis, MO",3,38.6270025,-90.19940419999999,United States,MO
55,"Pasadena, CA",3,34.1477849,-118.1445155,California,CA
56,"New Orleans, LA",3,29.95106579999999,-90.0715323,Louisiana,LA
57,"Richardson, TX",3,32.9483335,-96.7298519,Texas,TX
58,"Boulder, CO",3,40.0149856,-105.2705456,Colorado,CO
59,"Shelton, CT",3,41.3164856,-73.0931641,Connecticut,CT
60,"Fort Worth, TX",3,32.7554883,-97.3307658,Texas,TX
61,"Oakland, CA",3,37.8043637,-122.2711137,California,CA
62,"Holmdel, NJ",3,40.3451095,-74.18403219999999,New Jersey,NJ
63,"Chesterfield, MO",3,38.6631083,-90.5770675,Missouri,MO
64,"Parsippany, NJ",3,40.8652865,-74.41738769999999,New Jersey,NJ
65,"Milwaukee, WI",3,43.0389025,-87.9064736,Wisconsin,WI
66,"Huntsville, AL",3,34.7303688,-86.5861037,Alabama,AL
67,"Indianapolis, IN",3,39.768403,-86.158068,Indiana,IN
68,"Greensboro, NC",3,36.0726354,-79.7919754,North Carolina,NC
69,"Sacramento, CA",3,38.5815719,-121.4943996,California,CA
70,"Tempe, AZ",3,33.4255104,-111.9400054,Arizona,AZ
71,"Armonk, NY",3,41.1264849,-73.71401949999999,Westchester County,NY
72,"Durham, NC",3,35.9940329,-78.898619,North Carolina,NC
73,"Conway, AR",3,35.0886963,-92.4421011,Faulkner County,AR
74,"Renton, WA",3,47.4796927,-122.2079218,Washington,WA
75,"Jersey City, NJ",3,40.7177545,-74.0431435,New Jersey,NJ
76,"Bloomington, MN",3,44.840798,-93.2982799,Hennepin County,MN
