,State,State Code,City,Occupation Code,Occupation,Employment Count,Average Hourly Wages,Average Annual Wages
56,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,3570,41.3,85900
57,AK,11260,"Anchorage, AK",15-1121,Computer Systems Analysts,610,38.51,80110
58,AK,11260,"Anchorage, AK",15-1122,Information Security Analysts,60,45.87,95400
59,AK,11260,"Anchorage, AK",15-1131,Computer Programmers,350,45.98,95640
60,AK,11260,"Anchorage, AK",15-1132,"Software Developers, Applications",230,*,*
61,AK,11260,"Anchorage, AK",15-1133,"Software Developers, Systems Software",**,62.59,130180
62,AK,11260,"Anchorage, AK",15-1134,Web Developers,80,27.47,57140
63,AK,11260,"Anchorage, AK",15-1141,Database Administrators,130,40.28,83790
64,AK,11260,"Anchorage, AK",15-1142,Network and Computer Systems Administrators,720,40.59,84430
65,AK,11260,"Anchorage, AK",15-1143,Computer Network Architects,70,54.16,112650
66,AK,11260,"Anchorage, AK",15-1151,Computer User Support Specialists,500,29.13,60590
67,AK,11260,"Anchorage, AK",15-1152,Computer Network Support Specialists,220,27.31,56810
68,AK,11260,"Anchorage, AK",15-1199,"Computer Occupations, All Other",360,45.96,95600
69,AK,11260,"Anchorage, AK",15-2031,Operations Research Analysts,70,45.09,93790
493,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,570,37.49,77980
494,AK,21820,"Fairbanks, AK",15-1121,Computer Systems Analysts,50,39.07,81260
495,AK,21820,"Fairbanks, AK",15-1131,Computer Programmers,80,38.85,80800
496,AK,21820,"Fairbanks, AK",15-1132,"Software Developers, Applications",**,43.39,90260
497,AK,21820,"Fairbanks, AK",15-1142,Network and Computer Systems Administrators,80,38.03,79100
498,AK,21820,"Fairbanks, AK",15-1151,Computer User Support Specialists,80,31.33,65170
499,AK,21820,"Fairbanks, AK",15-1199,"Computer Occupations, All Other",100,40.64,84520
708,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-0000,Computer and Mathematical Occupations,350,26.99,56150
709,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-1142,Network and Computer Systems Administrators,50,29.39,61140
710,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-1151,Computer User Support Specialists,120,16.84,35020
929,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,790,31.49,65500
930,AL,12220,"Auburn-Opelika, AL",15-1121,Computer Systems Analysts,60,31.37,65260
931,AL,12220,"Auburn-Opelika, AL",15-1131,Computer Programmers,130,30.82,64090
932,AL,12220,"Auburn-Opelika, AL",15-1132,"Software Developers, Applications",30,50.94,105960
933,AL,12220,"Auburn-Opelika, AL",15-1133,"Software Developers, Systems Software",30,43.49,90450
934,AL,12220,"Auburn-Opelika, AL",15-1142,Network and Computer Systems Administrators,110,35.92,74710
935,AL,12220,"Auburn-Opelika, AL",15-1151,Computer User Support Specialists,240,25.36,52750
936,AL,12220,"Auburn-Opelika, AL",15-1152,Computer Network Support Specialists,130,30.75,63960
1182,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,12130,38.5,80080
1183,AL,13820,"Birmingham-Hoover, AL",15-1121,Computer Systems Analysts,1590,36.63,76190
1184,AL,13820,"Birmingham-Hoover, AL",15-1122,Information Security Analysts,410,44.29,92130
1185,AL,13820,"Birmingham-Hoover, AL",15-1131,Computer Programmers,2140,39.28,81700
1186,AL,13820,"Birmingham-Hoover, AL",15-1132,"Software Developers, Applications",1500,42.17,87710
1187,AL,13820,"Birmingham-Hoover, AL",15-1133,"Software Developers, Systems Software",1000,46.83,97400
1188,AL,13820,"Birmingham-Hoover, AL",15-1134,Web Developers,170,34.87,72540
1189,AL,13820,"Birmingham-Hoover, AL",15-1141,Database Administrators,660,43.39,90260
1190,AL,13820,"Birmingham-Hoover, AL",15-1142,Network and Computer Systems Administrators,1550,39.84,82860
1191,AL,13820,"Birmingham-Hoover, AL",15-1143,Computer Network Architects,380,51.81,107770
1192,AL,13820,"Birmingham-Hoover, AL",15-1151,Computer User Support Specialists,1780,24.59,51140
1193,AL,13820,"Birmingham-Hoover, AL",15-1152,Computer Network Support Specialists,360,32.76,68140
1194,AL,13820,"Birmingham-Hoover, AL",15-1199,"Computer Occupations, All Other",270,41.66,86660
1195,AL,13820,"Birmingham-Hoover, AL",15-2011,Actuaries,40,41.73,86800
1196,AL,13820,"Birmingham-Hoover, AL",15-2031,Operations Research Analysts,100,39.1,81320
1197,AL,13820,"Birmingham-Hoover, AL",15-2041,Statisticians,80,33.47,69610
1702,AL,19300,"Daphne-Fairhope-Foley, AL",15-0000,Computer and Mathematical Occupations,310,29.01,60350
1703,AL,19300,"Daphne-Fairhope-Foley, AL",15-1131,Computer Programmers,70,30.12,62650
1704,AL,19300,"Daphne-Fairhope-Foley, AL",15-1134,Web Developers,40,23.7,49290
1705,AL,19300,"Daphne-Fairhope-Foley, AL",15-1142,Network and Computer Systems Administrators,40,35.04,72880
1706,AL,19300,"Daphne-Fairhope-Foley, AL",15-1151,Computer User Support Specialists,80,20.27,42160
1966,AL,19460,"Decatur, AL",15-0000,Computer and Mathematical Occupations,440,33.08,68810
